"PhraseID","EN","PT-BR"
"QID20_Choice4","Yes: I'd like to take this survey in another language","Sim: gostaria de responder a esta pesquisa em outro idioma"
"QID20_Choice5","No: I'll continue to take the survey in English","Não: Eu continuarei a responder à pesquisa em inglês"
"QID240_QuestionText","What language would you prefer to take this survey in?","Em que idioma você prefere responder a esta pesquisa?"
"QID240_Choice1","Albanian","Albanês"
"QID240_Choice2","Amharic","Amárico"
"QID240_Choice3","Arabic","Árabe"
"QID240_Choice4","Bangla","Bengali"
"QID240_Choice5","Chinese (simplified)","Chinês (simplificado)"
"QID240_Choice6","Chinese (traditional)","Chinês (tradicional)"
"QID240_Choice7","Farsi","Farsi"
"QID240_Choice13","Gujarati","Gujarati"
"QID240_Choice14","Haitian Creole","Crioulo haitiano"
"QID240_Choice15","Hindi","Hindi"
"QID240_Choice16","Japanese","Japonês"
"QID240_Choice17","Korean","Coreano"
"QID240_Choice18","Nepali","Nepalês"
"QID240_Choice19","Pashto","Pashto"
"QID240_Choice20","Portuguese (Brazil)","Português (Brasil)"
"QID240_Choice21","Portuguese (Portugal)","Português (Portugal)"
"QID240_Choice8","Russian","Russo"
"QID240_Choice9","Somali","Somali"
"QID240_Choice10","Spanish","Espanhol"
"QID240_Choice11","Tigrinya","Tigrínia"
"QID240_Choice12","Turkish","Turco"
"QID240_Choice22","Vietnamese","Vietnamita"
"QID240_Choice23","Ukranian","Ucraniano"
"QID240_Choice24","Other, please type your preferred language here:","Outro, digite seu idioma preferido aqui:"
"QID14_QuestionText","<b>Program and Role</b><br>In this section, we will ask you about your current job working with young children in Cambridge.<br>","<b>Programa e Função</b><br>Nesta seção, perguntaremos sobre seu emprego atual trabalhando com crianças pequenas em Cambridge.<br>"
"QID15_QuestionText","Are you currently employed as an early educator (including as a&nbsp;teacher of any level, paraprofessional,&nbsp;Family Child Care Provider, coach/mentor, or as an administrator at an early education program) for children five years old or younger in Cambridge, Massachusetts?<br><i>Please note, if you work with children 5 and under as a <b>home visitor or in a family support role</b>, please select ""<b>no</b>"" – you will then be directed to a set of questions about your role.</i><br>","Você está atualmente empregado como educadores infantil (inclusive como&nbsp;professor de qualquer nível, paraprofissional,&nbsp;Prestador de cuidados infantis familiares, treinador/mentor ou administrador de um programa de educação infantil) para crianças de cinco anos de idade ou menos em Cambridge, Massachusetts?<br><i>Por favor, observe que, se você trabalha com crianças de 5 anos ou menos como <b>visitante domiciliar ou em uma função de apoio à família</b>, por favor, selecione ""<b>no</b>"" - você será direcionado a um conjunto de perguntas sobre sua função.</i><br>"
"QID15_Choice1","Yes","Sim"
"QID15_Choice2","No","Não"
"QID147_QuestionText","Are you currently employed in a home visiting or family support role (e.g. as a home visitor, early intervention provider, playgroup leader, literacy ambassador, case manager, family advocate, early learning specialist, etc.) for children five years old or younger in Cambridge, Massachusetts?","Você está atualmente empregado em uma função de visita domiciliar ou de apoio à família (por exemplo, como visitante domiciliar, provedor de intervenção precoce, líder de grupo de brincadeiras, embaixador da alfabetização, gerente de caso, defensor da família, especialista em aprendizagem precoce, etc.) para crianças de cinco anos de idade ou menos em Cambridge, Massachusetts?"
"QID147_Choice1","Yes","Sim"
"QID147_Choice2","No","Não"
"QID148_QuestionText","What is your current role in your work with children under age 5 in Cambridge, MA?","Qual é a sua função atual em seu trabalho com crianças menores de 5 anos em Cambridge, MA?"
"QID148_Choice4","Home visitor","Visitante doméstico"
"QID148_Choice5","Early Intervention provider","Provedor de intervenção precoce"
"QID148_Choice6","Playgroup leader","Líder de grupo de recreação"
"QID148_Choice7","Literacy Ambassador","Embaixador da Alfabetização"
"QID148_Choice8","Case Manager","Gerente de Caso"
"QID148_Choice9","Family Advocate","Defensor da Família"
"QID148_Choice10","Early Learning Specialist","Especialista em Aprendizagem Precoce"
"QID148_Choice11","Other, please explain:","Outro, favor explicar:"
"QID220_QuestionText","How long is a typical home visit?<br><br>","Quanto tempo dura uma visita domiciliar típica?<br><br>"
"QID220_Choice1","15 minutes","15 minutos"
"QID220_Choice2","30 minutes","30 minutos"
"QID220_Choice3","45 minutes","45 minutos"
"QID220_Choice4","1 hour","1 hora"
"QID220_Choice5","1 hour 15 minutes","1 hora e 15 minutos"
"QID220_Choice6","1 hour 30 minutes","1 hora e 30 minutos"
"QID220_Choice7","1 hour 45 minutes","1 hora e 45 minutos"
"QID220_Choice8","2 hours","2 horas"
"QID220_Choice9","Over two hours","Mais de duas horas"
"QID220_Choice10","Other:","Outro:"
"QID221_QuestionText","Is the child typically present during your visit?","A criança está normalmente presente durante sua visita?"
"QID221_Choice1","Yes","Sim"
"QID221_Choice2","No","Não"
"QID221_Choice3","It depends","Depende"
"QID222_QuestionText","Are you receiving Reflective Consultation/Reflective Supervision as part of your job in home visiting/family support?","Você está recebendo Consulta Reflexiva/Supervisão Reflexiva como parte de seu trabalho em visitas domiciliares/apoio à família?"
"QID222_Choice1","Yes","Sim"
"QID222_Choice2","No","Não"
"QID223_QuestionText","Do you have or are you currently working on Infant-Early Childhood Mental Health&nbsp;(IECMH) Endorsement as part of your job in home visiting/family support?","Você tem ou está trabalhando atualmente no Endosso de Saúde Mental do Bebê e da Primeira Infância&nbsp;(IECMH) como parte de seu trabalho de visita domiciliar/apoio à família?"
"QID223_Choice1","Yes","Sim"
"QID223_Choice2","No","Não"
"QID224_QuestionText","If you cannot access either&nbsp;Reflective Consultation/Reflective Supervision&nbsp;or IECHM Endorsement through your employer, are you pursuing either on your own?","Se não puder acessar o site&nbsp;Reflective Consultation/Reflective Supervision&nbsp;ou o IECHM Endorsement por meio de seu empregador, você está buscando algum deles por conta própria?"
"QID224_Choice1","Yes","Sim"
"QID224_Choice2","No","Não"
"QID173_QuestionText","Do you currently work for multiple organizations in your work with children under age 5 and their families?","Atualmente, você trabalha para várias organizações em seu trabalho com crianças menores de 5 anos e suas famílias?"
"QID173_Choice1","Yes","Sim"
"QID173_Choice2","No","Não"
"QID173_Choice3","Other, please explain:","Outro, favor explicar:"
"QID174_QuestionText","Which of these organizations do you currently work for in your family support/home visiting role?<br><i>Check all that apply</i><br>","Para quais dessas organizações você trabalha atualmente em sua função de apoio à família/visita domiciliar?<br><i>Marque todas as opções aplicáveis</i><br>"
"QID174_Choice1","Agenda for Children Literacy Initiative","Iniciativa de alfabetização da Agenda for Children"
"QID174_Choice4","Center for Families & Baby University","Center for Families & Baby University (Centro para Famílias e Universidade do Bebê)"
"QID174_Choice5","Home Based Early Childhood Education Program","Programa Home Based Early Childhood Education"
"QID174_Choice6","JF&CS Healthy Families Central Middlesex ","Programa Healthy Families Central Middlesex da JF&CS"
"QID174_Choice7","JF&CS Other (Project NESST, Visiting Moms, Fragile Beginnings, Early Connections)","JF&CS Outros (Projeto NESST, Visiting Moms, Fragile Beginnings, Early Connections)"
"QID174_Choice8","Riverside Early Head Start","Riverside Early Head Start"
"QID174_Choice9","Riverside Cambridge/Somerville Early Intervention (including Riverside Early Intervention Parenting Partnerships)","Riverside Cambridge/Somerville Early Intervention (incluindo Early Intervention Parenting Partnerships da Riverside)"
"QID174_Choice10","Riverside Early Years Project","Projeto Early Years da Riverside"
"QID174_Choice12","I work for an organization that is not listed here","Eu trabalho para uma organização que não está listada aqui"
"QID230_QuestionText","What other organization(s) do you work for in your family support/home visiting role?<br>","Em que outra(s) organização(ões) você trabalha em sua função de apoio à família/visita domiciliar?<br>"
"QID180_QuestionText","Do you have the option of receiving full-time employment from any of the organizations you work for in your family support/home visiting role?","Você tem a opção de receber emprego em tempo integral de alguma das organizações para as quais trabalha em sua função de apoio familiar/visita domiciliar?"
"QID180_Choice1","Yes","Sim"
"QID180_Choice2","No","Não"
"QID218_QuestionText","How many hours a week do you typically work?<br><i>If you work for multiple different organizations, please include all hours. Please type only a number (e.g., if you work 30 hours a week, please type: 30)</i><br>","Quantas horas por semana você normalmente trabalha?<br><i>Se você trabalha para várias organizações diferentes, por favor inclua todas as horas. Digite apenas um número (por exemplo, se você trabalha 30 horas por semana, digite: 30)</i><br>"
"QID214_QuestionText","Please indicate the age groups that you work with in your current role.<br><i>Check all that apply</i>","Por favor, indique as faixas etárias com as quais você trabalha em sua função atual.<br><i>Marque todas as opções aplicáveis</i>"
"QID214_Choice1","Infants (less than 15 months old)","Bebês (menos de 15 meses de idade)"
"QID214_Choice2","Toddlers (16-36 months old)","Crianças pequenas (16 a 36 meses de idade)"
"QID214_Choice3","Preschoolers (3-4 year olds not yet eligible for kindergarten)","Pré-escolares (crianças de 3 a 4 anos que ainda não se qualificam para o jardim de infância)"
"QID214_Choice4","Elementary school and older (kindergarten or older)","Ensino fundamental ou posterior (jardim de infância ou posterior)"
"QID215_QuestionText","What language(s) do you speak with children and families during your work?<br><i>Check all that apply</i><br>","Que idioma(s) você fala com as crianças e famílias durante o seu trabalho?<br><i>Marque todos os que se aplicam</i><br>"
"QID215_Choice1","English","Inglês"
"QID215_Choice2","Spanish","Espanhol"
"QID215_Choice3","Portuguese","Português"
"QID215_Choice4","Mandarin","Mandarim"
"QID215_Choice5","French","Francês"
"QID215_Choice7","Haitian Creole","Crioulo haitiano"
"QID215_Choice8","Amharic","Amárico"
"QID215_Choice6","Other, please explain:","Outro, favor explicar:"
"QID175_QuestionText","Do any of your employers offer you the following benefits? <br><i>Please check ""yes"" if your organization&nbsp;<b>offers</b> the benefit even if you are not using it.</i>","Algum dos seus empregadores lhe oferece os seguintes benefícios? <br><i>Marque ""sim"" se a sua organização&nbsp;<b>oferece</b> o benefício, mesmo que você não o esteja usando.</i>"
"QID175_Choice1","Paid sick leave","Licença médica remunerada"
"QID175_Choice2","Unpaid sick leave","Licença médica não remunerada"
"QID175_Choice3","Paid vacation or personal days","Férias remuneradas ou dias pessoais"
"QID175_Choice4","Health insurance","Seguro de saúde"
"QID175_Choice5","Dental insurance","Seguro odontológico"
"QID175_Choice6","Tuition reimbursement<br />➘(e.g., for college courses)","Reembolso de mensalidades<br />➘(por exemplo, para cursos universitários)"
"QID175_Choice7","Professional development funds<br />➘(e.g., to attend conferences, buy books)","Fundos para desenvolvimento profissional<br />➘(por exemplo, para participar de conferências, comprar livros)"
"QID175_Choice8","Child care benefits<br />➘(e.g., free or discounted tuition for the children of staff)","Benefícios de cuidados infantis<br />➘(por exemplo, ensino gratuito ou com desconto para os filhos dos funcionários)"
"QID175_Choice9","Retirement plan<br />➘(e.g., 401k, 403b, pension plan)","Plano de aposentadoria<br />➘ (por exemplo, 401k, 403b, plano de pensão)"
"QID175_Choice10","Overtime pay","Pagamento de horas extras"
"QID175_Answer1","Yes","Sim"
"QID175_Answer2","No","Não"
"QID177_QuestionText","How many days of paid sick leave do you have a year?<br><i>Please type a number.</i>&nbsp;","Quantos dias de licença médica remunerada você tem por ano?<br><i>Por favor, digite um número.</i>&nbsp;"
"QID178_QuestionText","How many days of paid vacation/personal days do you have a year?<br><i>Please type a number. </i>","Quantos dias de férias remuneradas/dias pessoais você tem por ano?<br><i>Digite um número. </i>"
"QID179_QuestionText","Do you currently have health insurance?","Você tem seguro de saúde atualmente?"
"QID179_Choice1","Yes","Sim"
"QID179_Choice2","No","Não"
"QID181_QuestionText","What is the source of your current primary health insurance policy?","Qual é a origem da sua atual apólice de seguro de saúde principal?"
"QID181_Choice2","Through my employer","Por meio de meu empregador"
"QID181_Choice3","My partner/spouse's policy","Apólice do meu parceiro/cônjuge"
"QID181_Choice4","My parent's policy","A apólice dos meus pais"
"QID181_Choice5","Medicare/Medicaid","Medicare/Medicaid"
"QID181_Choice6","Massachusetts Health Connector/Affordable Care Act","Massachusetts Health Connector/Affordable Care Act (Lei de Cuidados Acessíveis)"
"QID181_Choice7","MASSHealth","MASSHealth"
"QID181_Choice8","Other, please explain","Outro, favor explicar"
"QID242_QuestionText","These questions are to help capture how your job relates your mental and emotional health.","Essas perguntas servem para ajudar a captar como seu trabalho está relacionado à sua saúde mental e emocional."
"QID182_QuestionText","Please read each statement carefully and decide if you ever feel this way about your job. Then, indicate how much stress this feeling has caused.","Por favor, leia cada declaração com atenção e decida se você já se sentiu assim em relação ao seu trabalho. Em seguida, indique o nível de estresse causado por esse sentimento."
"QID182_Choice1","I lack opportunities for professional improvement.","Não tenho oportunidades de aprimoramento profissional."
"QID182_Choice2","My personal opinions are not considered.","Minhas opiniões pessoais não são consideradas."
"QID182_Choice3","I am not emotionally/intellectually stimulated on the job.","Não sou estimulado emocional/intelectualmente no trabalho."
"QID182_Choice4","I lack control over decisions/matters related to my job.","Não tenho controle sobre decisões/assuntos relacionados ao meu trabalho."
"QID182_Answer1","No stress","Sem estresse"
"QID182_Answer2","Mild stress","Estresse leve"
"QID182_Answer3","Moderate stress","Estresse moderado"
"QID182_Answer4","Severe stress","Estresse severo"
"QID182_Answer5","Extreme stress","Estresse extremo"
"QID183_QuestionText","This question is about how you feel about your job. Please read each statement carefully and decide if you ever feel this way about your job and, if so, how frequently.","Esta pergunta é sobre como você se sente em relação ao seu trabalho. Por favor, leia cada afirmação com atenção e decida se você já se sentiu assim em relação ao seu trabalho e, em caso afirmativo, com que frequência."
"QID183_Choice1","I feel emotionally drained from my work.","Eu me sinto emocionalmente esgotado em meu trabalho."
"QID183_Choice2","I feel used up at the end of the workday.","Eu me sinto esgotado ao final de um dia de trabalho."
"QID183_Choice3","I feel tired when I get up in the morning and have to face another day on the job.","Eu me sinto cansado quando me levanto de manhã e tenho de enfrentar mais um dia de trabalho."
"QID183_Choice4","Working with people all day is really hard for me.","Trabalhar com pessoas o dia todo é muito difícil para mim."
"QID183_Choice5","I feel burned out from my work.","Eu me sinto esgotado por causa do meu trabalho."
"QID183_Choice6","I feel frustrated by my job.","Eu me sinto frustrado com meu trabalho."
"QID183_Choice7","I feel I'm working too hard on my job.","Eu sinto que estou trabalhando demais em meu emprego."
"QID183_Choice8","Working with people directly puts too much stress on me.","Trabalhar diretamente com pessoas me estressa demais."
"QID183_Choice9","I feel like I'm at the end of my rope.","Eu sinto que estou no fim da linha."
"QID183_Answer1","Never","Nunca"
"QID183_Answer2","A few times a year or less","Algumas vezes por ano ou menos"
"QID183_Answer3","Once a month or less","Uma vez por mês ou menos"
"QID183_Answer4","A few times a month","Algumas vezes por mês"
"QID183_Answer5","Once a week","Uma vez por semana"
"QID183_Answer6","A few times a week","Algumas vezes por semana"
"QID183_Answer7","Every day","Todos os dias"
"QID185_QuestionText","Over the last two weeks, how often have you been bothered by the following problems?","Nas últimas duas semanas, com que frequência você foi incomodado pelos seguintes problemas?"
"QID185_Choice1","Feeling nervous, anxious or on edge","Sentindo-se nervoso, ansioso ou no limite"
"QID185_Choice2","Not being able to stop or control worrying","Não ser capaz de parar ou controlar a preocupação"
"QID185_Choice3","Feeling down, depressed or hopeless","Sentindo-se abatido, deprimido ou sem esperança"
"QID185_Choice4","Little interest or pleasure in doing things","Pouco interesse ou prazer em fazer as coisas"
"QID185_Answer1","Not at all","De forma alguma"
"QID185_Answer2","Several days","Vários dias"
"QID185_Answer3","More than half the days","Mais da metade dos dias"
"QID185_Answer4","Nearly every day","Quase todos os dias"
"QID190_QuestionText","These questions are to help us understand how you take care of your wellbeing outside of your professional environment.","Essas perguntas servem para nos ajudar a entender como você cuida do seu bem-estar fora do ambiente profissional."
"QID191_QuestionText","How do you like to spend your time outside of work?","Como você gosta de passar seu tempo fora do trabalho?"
"QID192_QuestionText","What are your go-to support systems, either in or outside of your work setting?","Quais são seus sistemas de apoio, dentro ou fora de seu ambiente de trabalho?"
"QID209_QuestionText","<b>All About You<br></b>In this section, we want to learn more about you and your family. This information is critical for us to understand who is in the early care and education workforce in Cambridge.","<b>Tudo sobre você<br></b>Nesta seção, queremos saber mais sobre você e sua família. Essas informações são essenciais para entendermos quem faz parte da força de trabalho de cuidados e educação infantil em Cambridge."
"QID193_QuestionText","What is your gender","Qual é o seu gênero?"
"QID193_Choice1","Female","Feminino"
"QID193_Choice2","Male","Masculino"
"QID193_Choice4","Nonbinary","Não binário"
"QID193_Choice3","Other, please write in your gender identity:","Outro, por favor escreva sua identidade de gênero:"
"QID194_QuestionText","What is your race?<br><i>Check all that apply</i><br>","Qual é a sua raça?<br><i>Marque todas as opções aplicáveis</i><br>"
"QID194_Choice1","American Indian or Alaskan Native","Índio americano ou nativo do Alasca"
"QID194_Choice2","Asian","Asiático(a)"
"QID194_Choice3","Black or African American","Negro(a) ou afro-americano(a)"
"QID194_Choice4","Native Hawaiian or Other Pacific Islander","Nativo do Havaí ou de outras ilhas do Pacífico"
"QID194_Choice5","White","Branco(a)"
"QID195_QuestionText","Do you identify as:&nbsp;","Você se identifica como:&nbsp;"
"QID195_Choice1","Hispanic or Latinx or Spanish Origin","Hispânico ou Latinx ou de origem espanhola"
"QID195_Choice2","Not Hispanic of Latinx or Spanish Origin","Não hispânico de origem Latinx ou espanhola"
"QID196_QuestionText","What language do you speak the most, in general?&nbsp;","Qual é o idioma que você mais fala, em geral?&nbsp;"
"QID196_Choice1","English","Inglês"
"QID196_Choice2","Spanish","Espanhol"
"QID196_Choice3","Portuguese","Português"
"QID196_Choice4","Mandarin","Mandarim"
"QID196_Choice5","French","Francês"
"QID196_Choice7","Haitian Creole","Crioulo haitiano"
"QID196_Choice8","Amharic","Amárico"
"QID196_Choice6","Other, please explain:","Outro, favor explicar:"
"QID197_QuestionText","Which state do you currently live in?","Em que estado você mora atualmente?"
"QID197_Choice1","Massachusetts","Massachusetts"
"QID197_Choice2","Connecticut","Connecticut"
"QID197_Choice3","New Hampshire","New Hampshire"
"QID197_Choice4","Rhode Island","Rhode Island"
"QID197_Choice5","Maine","Maine"
"QID197_Choice7","Vermont","Vermont"
"QID197_Choice6","Other, please explain:","Outro, favor explicar:"
"QID198_QuestionText","In which town do you currently live in Massachusetts?","Em que cidade você mora atualmente em Massachusetts?"
"QID198_Choice1","Abington","Abington"
"QID198_Choice2","Acton","Acton"
"QID198_Choice3","Acushnet","Acushnet"
"QID198_Choice4","Adams","Adams"
"QID198_Choice5","Agawam","Agawam"
"QID198_Choice6","Alford","Alford"
"QID198_Choice7","Amesbury","Amesbury"
"QID198_Choice8","Amherst","Amherst"
"QID198_Choice9","Andover","Andover"
"QID198_Choice10","Aquinnah","Aquinnah"
"QID198_Choice11","Arlington","Arlington"
"QID198_Choice12","Ashburnham","Ashburnham"
"QID198_Choice13","Ashby","Ashby"
"QID198_Choice14","Ashfield","Ashfield"
"QID198_Choice15","Ashland","Ashland"
"QID198_Choice16","Athol","Athol"
"QID198_Choice17","Attleboro","Attleboro"
"QID198_Choice18","Auburn","Auburn"
"QID198_Choice19","Avon","Avon"
"QID198_Choice20","Ayer","Ayer"
"QID198_Choice21","Barnstable","Barnstable"
"QID198_Choice22","Barre","Barre"
"QID198_Choice23","Becket","Becket"
"QID198_Choice24","Bedford","Bedford"
"QID198_Choice25","Belchertown","Belchertown"
"QID198_Choice26","Bellingham","Bellingham"
"QID198_Choice27","Belmont","Belmont"
"QID198_Choice28","Berkley","Berkley"
"QID198_Choice29","Berlin","Berlim"
"QID198_Choice30","Bernardston","Bernardston"
"QID198_Choice31","Beverly","Beverly"
"QID198_Choice32","Billerica","Billerica"
"QID198_Choice33","Blackstone","Blackstone"
"QID198_Choice34","Blandford","Blandford"
"QID198_Choice35","Bolton","Bolton"
"QID198_Choice36","Boston","Boston"
"QID198_Choice37","Bourne","Bourne"
"QID198_Choice38","Boxborough","Boxborough"
"QID198_Choice39","Boxford","Boxford"
"QID198_Choice40","Boylston","Boylston"
"QID198_Choice41","Braintree","Braintree"
"QID198_Choice42","Brewster","Brewster"
"QID198_Choice43","Bridgewater","Bridgewater"
"QID198_Choice44","Brimfield","Brimfield"
"QID198_Choice45","Brockton","Brockton"
"QID198_Choice46","Brookfield","Brookfield"
"QID198_Choice47","Brookline","Brookline"
"QID198_Choice48","Buckland","Buckland"
"QID198_Choice49","Burlington","Burlington"
"QID198_Choice50","Cambridge","Cambridge"
"QID198_Choice51","Canton","Canton"
"QID198_Choice52","Carlisle","Carlisle"
"QID198_Choice53","Carver","Carver"
"QID198_Choice54","Charlemont","Charlemont"
"QID198_Choice55","Charlton","Charlton"
"QID198_Choice56","Chatham","Chatham"
"QID198_Choice57","Chelmsford","Chelmsford"
"QID198_Choice58","Chelsea","Chelsea"
"QID198_Choice59","Cheshire","Cheshire"
"QID198_Choice60","Chester","Chester"
"QID198_Choice61","Chesterfield","Chesterfield"
"QID198_Choice62","Chicopee","Chicopee"
"QID198_Choice63","Chilmark","Chilmark"
"QID198_Choice64","Clarksburg","Clarksburg"
"QID198_Choice65","Clinton","Clinton"
"QID198_Choice66","Cohasset","Cohasset"
"QID198_Choice67","Colrain","Colrain"
"QID198_Choice68","Concord","Concord"
"QID198_Choice69","Conway","Conway"
"QID198_Choice70","Cummington","Cummington"
"QID198_Choice71","Dalton","Dalton"
"QID198_Choice72","Danvers","Danvers"
"QID198_Choice73","Dartmouth","Dartmouth"
"QID198_Choice74","Dedham","Dedham"
"QID198_Choice75","Deerfield","Deerfield"
"QID198_Choice76","Dennis","Dennis"
"QID198_Choice77","Dighton","Dighton"
"QID198_Choice78","Douglas","Douglas"
"QID198_Choice79","Dover","Dover"
"QID198_Choice80","Dracut","Dracut"
"QID198_Choice81","Dudley","Dudley"
"QID198_Choice82","Dunstable","Dunstable"
"QID198_Choice83","Duxbury","Duxbury"
"QID198_Choice84","East Bridgewater","East Bridgewater"
"QID198_Choice85","East Brookfield","East Brookfield"
"QID198_Choice86","East Longmeadow","East Longmeadow"
"QID198_Choice87","Eastham","Eastham"
"QID198_Choice88","Easthampton","Easthampton"
"QID198_Choice89","Easton","Easton"
"QID198_Choice90","Edgartown","Edgartown"
"QID198_Choice91","Egremont","Egremont"
"QID198_Choice92","Erving","Erving"
"QID198_Choice93","Essex","Essex"
"QID198_Choice94","Everett","Everett"
"QID198_Choice95","Fairhaven","Fairhaven"
