"PhraseID","EN","ES-ES"
"QID20_Choice4","Yes: I'd like to take this survey in another language","Sí, me gustaría hacer esta encuesta en otro idioma"
"QID20_Choice5","No: I'll continue to take the survey in English","No, seguiré haciendo la encuesta en inglés"
"QID240_QuestionText","What language would you prefer to take this survey in?","¿En qué idioma prefiere realizar la encuesta?"
"QID240_Choice1","Albanian","Albanés"
"QID240_Choice2","Amharic","Amárico"
"QID240_Choice3","Arabic","Árabe"
"QID240_Choice4","Bangla","Bengalí"
"QID240_Choice5","Chinese (simplified)","Chino (simplificado)"
"QID240_Choice6","Chinese (traditional)","Chino (tradicional)"
"QID240_Choice7","Farsi","Farsi"
"QID240_Choice13","Gujarati","Guyaratí"
"QID240_Choice14","Haitian Creole","Criollo haitiano"
"QID240_Choice15","Hindi","Hindi"
"QID240_Choice16","Japanese","Japonés"
"QID240_Choice17","Korean","Coreano"
"QID240_Choice18","Nepali","Nepalí"
"QID240_Choice19","Pashto","Pasto"
"QID240_Choice20","Portuguese (Brazil)","Portugués (Brasil)"
"QID240_Choice21","Portuguese (Portugal)","Portugués (Portugal)"
"QID240_Choice8","Russian","Ruso"
"QID240_Choice9","Somali","Somalí"
"QID240_Choice10","Spanish","Español"
"QID240_Choice11","Tigrinya","Tigriña"
"QID240_Choice12","Turkish","Turco"
"QID240_Choice22","Vietnamese","Vietnamita"
"QID240_Choice23","Ukranian","Ucraniano"
"QID240_Choice24","Other, please type your preferred language here:","Otro, escriba aquí su idioma preferido:"
"QID14_QuestionText","<b>Program and Role</b><br>In this section, we will ask you about your current job working with young children in Cambridge.<br>","<b>Programa y función</b><br> En esta sección, le preguntaremos sobre su trabajo actual con niños pequeños en Cambridge.<br>"
"QID15_QuestionText","Are you currently employed as an early educator (including as a&nbsp;teacher of any level, paraprofessional,&nbsp;Family Child Care Provider, coach/mentor, or as an administrator at an early education program) for children five years old or younger in Cambridge, Massachusetts?<br><i>Please note, if you work with children 5 and under as a <b>home visitor or in a family support role</b>, please select ""<b>no</b>"" – you will then be directed to a set of questions about your role.</i><br>","¿Trabaja actualmente como educador de la primera infancia (ya sea en calidad de&nbsp; docente de cualquier nivel, paraprofesional, &nbsp;proveedor de cuidado infantil familiar, asesor/mentor o administrador en un programa de educación de la primera infancia) para niños menores de cinco años en Cambridge, Massachusetts?<br><i> Si trabaja con niños menores de 5 años como <b>visitador a domicilio o en una función de apoyo familiar</b>, seleccione la opción ""<b>no</b>"" y a continuación se le dirigirá a una serie de preguntas sobre su función.</i><br>"
"QID15_Choice1","Yes","Sí"
"QID15_Choice2","No","No"
"QID147_QuestionText","Are you currently employed in a home visiting or family support role (e.g. as a home visitor, early intervention provider, playgroup leader, literacy ambassador, case manager, family advocate, early learning specialist, etc.) for children five years old or younger in Cambridge, Massachusetts?","¿Ejerce actualmente una función de visita a domicilio o de apoyo familiar (p. ej., como visitador a domicilio, proveedor de intervención de la primera infancia, líder de grupos de juego, embajador de la alfabetización, gestor de casos, defensor de la familia, especialista en aprendizaje temprano, etc.) para niños menores de 5 años en Cambridge, Massachusetts?"
"QID147_Choice1","Yes","Sí"
"QID147_Choice2","No","No"
"QID148_QuestionText","What is your current role in your work with children under age 5 in Cambridge, MA?","¿Cuál es su función actual en el trabajo con niños menores de 5 años en Cambridge, MA?"
"QID148_Choice4","Home visitor","Visitador a domicilio"
"QID148_Choice5","Early Intervention provider","Proveedor de intervención de la primera infancia"
"QID148_Choice6","Playgroup leader","Responsable de grupos de juego"
"QID148_Choice7","Literacy Ambassador","Embajador de la alfabetización"
"QID148_Choice8","Case Manager","Gestor de casos"
"QID148_Choice9","Family Advocate","Defensor de la familia"
"QID148_Choice10","Early Learning Specialist","Especialista en aprendizaje temprano"
"QID148_Choice11","Other, please explain:","Otro, explique:"
"QID220_QuestionText","How long is a typical home visit?<br><br>","¿Cuánto tiempo suele durar una visita a domicilio?<br><br>"
"QID220_Choice1","15 minutes","15 minutos"
"QID220_Choice2","30 minutes","30 minutos"
"QID220_Choice3","45 minutes","45 minutos"
"QID220_Choice4","1 hour","1 hora"
"QID220_Choice5","1 hour 15 minutes","1 hora 15 minutos"
"QID220_Choice6","1 hour 30 minutes","1 hora 30 minutos"
"QID220_Choice7","1 hour 45 minutes","1 hora 45 minutos"
"QID220_Choice8","2 hours","2 horas"
"QID220_Choice9","Over two hours","Más de dos horas"
"QID220_Choice10","Other:","Otro:"
"QID221_QuestionText","Is the child typically present during your visit?","¿Suele estar el niño presente durante su visita?"
"QID221_Choice1","Yes","Sí"
"QID221_Choice2","No","No"
"QID221_Choice3","It depends","Depende"
"QID222_QuestionText","Are you receiving Reflective Consultation/Reflective Supervision as part of your job in home visiting/family support?","¿Recibe consulta/supervisión reflexiva como parte de su trabajo relacionado con visitas a domicilio/apoyo familiar?"
"QID222_Choice1","Yes","Sí"
"QID222_Choice2","No","No"
"QID223_QuestionText","Do you have or are you currently working on Infant-Early Childhood Mental Health&nbsp;(IECMH) Endorsement as part of your job in home visiting/family support?","¿Tiene o trabaja actualmente en el programa de Salud Mental para Bebés y la Primera Infancia &nbsp;(IECMH, por sus siglas en inglés) como parte de su trabajo en visitas a domicilio/apoyo familiar?"
"QID223_Choice1","Yes","Sí"
"QID223_Choice2","No","No"
"QID224_QuestionText","If you cannot access either&nbsp;Reflective Consultation/Reflective Supervision&nbsp;or IECHM Endorsement through your employer, are you pursuing either on your own?","Si no puede acceder ni&nbsp; a la consulta/supervisión reflexiva &nbsp;ni al programa IECHM a través de su empleador, ¿lo hará por su cuenta?"
"QID224_Choice1","Yes","Sí"
"QID224_Choice2","No","No"
"QID173_QuestionText","Do you currently work for multiple organizations in your work with children under age 5 and their families?","¿Trabaja actualmente para varias organizaciones con niños menores de 5 años y sus familias?"
"QID173_Choice1","Yes","Sí"
"QID173_Choice2","No","No"
"QID173_Choice3","Other, please explain:","Otro, explique:"
"QID174_QuestionText","Which of these organizations do you currently work for in your family support/home visiting role?<br><i>Check all that apply</i><br>","¿Para cuál de las siguientes organizaciones trabaja actualmente en su función de apoyo familiar/visitas a domicilio?<br><i> Marque todas las opciones que correspondan.</i><br>"
"QID174_Choice1","Agenda for Children Literacy Initiative","Iniciativa de alfabetización Agenda for Children"
"QID174_Choice4","Center for Families & Baby University","Center for Families y Baby University"
"QID174_Choice5","Home Based Early Childhood Education Program","Programa Home-Based Early Childhood Education"
"QID174_Choice6","JF&CS Healthy Families Central Middlesex ","Programa Healthy Families Central Middlesex de JF&CS"
"QID174_Choice7","JF&CS Other (Project NESST, Visiting Moms, Fragile Beginnings, Early Connections)","Otros de JF&CS (Proyecto NESST, Visiting Moms, Fragile Beginnings, Early Connections)"
"QID174_Choice8","Riverside Early Head Start","Riverside Early Head Start"
"QID174_Choice9","Riverside Cambridge/Somerville Early Intervention (including Riverside Early Intervention Parenting Partnerships)","Riverside Cambridge/Somerville Early Intervention (incluido el programa Early Intervention Parenting Partnerships de Riverside)"
"QID174_Choice10","Riverside Early Years Project","Proyecto Early Years de Riverside"
"QID174_Choice12","I work for an organization that is not listed here","Trabajo para una organización que no figura en esta lista"
"QID230_QuestionText","What other organization(s) do you work for in your family support/home visiting role?<br>","¿Para qué otra(s) organización(es) trabaja en su función de apoyo familiar/visitas a domicilio?<br>"
"QID180_QuestionText","Do you have the option of receiving full-time employment from any of the organizations you work for in your family support/home visiting role?","¿Tiene la posibilidad de recibir un empleo a tiempo completo de alguna de las organizaciones para las que trabaja en su función de apoyo familiar/visitas a domicilio?"
"QID180_Choice1","Yes","Sí"
"QID180_Choice2","No","No"
"QID218_QuestionText","How many hours a week do you typically work?<br><i>If you work for multiple different organizations, please include all hours. Please type only a number (e.g., if you work 30 hours a week, please type: 30)</i><br>","¿Cuántas horas a la semana suele trabajar?<br><i> Si trabaja para varias organizaciones diferentes, incluya todas las horas. Escriba solo un número (p. ej., si trabaja 30 horas a la semana, escriba 30)</i><br>"
"QID214_QuestionText","Please indicate the age groups that you work with in your current role.<br><i>Check all that apply</i>","Indique los grupos etarios con los que trabaja en su función actual.<br><i> Marque todas las opciones que correspondan.</i>"
"QID214_Choice1","Infants (less than 15 months old)","Bebés (menos de 15 meses)"
"QID214_Choice2","Toddlers (16-36 months old)","Niños pequeños (de 16 a 36 meses)"
"QID214_Choice3","Preschoolers (3-4 year olds not yet eligible for kindergarten)","Niños en edad preescolar (de 3 a 4 años que aún no pueden asistir a la guardería)"
"QID214_Choice4","Elementary school and older (kindergarten or older)","Niños de primaria y niveles superiores (jardín de infancia o superior)"
"QID215_QuestionText","What language(s) do you speak with children and families during your work?<br><i>Check all that apply</i><br>","¿Qué idioma(s) habla con los niños y las familias durante su trabajo?<br><i> Marque todas las opciones que correspondan.</i><br>"
"QID215_Choice1","English","Inglés"
"QID215_Choice2","Spanish","Español"
"QID215_Choice3","Portuguese","Portugués"
"QID215_Choice4","Mandarin","Mandarín"
"QID215_Choice5","French","Francés"
"QID215_Choice7","Haitian Creole","Criollo haitiano"
"QID215_Choice8","Amharic","Amárico"
"QID215_Choice6","Other, please explain:","Otro, explique:"
"QID175_QuestionText","Do any of your employers offer you the following benefits? <br><i>Please check ""yes"" if your organization&nbsp;<b>offers</b> the benefit even if you are not using it.</i>","¿Alguno de sus empleadores le ofrece los siguientes beneficios? <br><i> Marque ""sí"" si su organización&nbsp;<b> proporciona</b> el beneficio aunque usted no lo utilice.</i>"
"QID175_Choice1","Paid sick leave","Licencia remunerada por enfermedad"
"QID175_Choice2","Unpaid sick leave","Licencia no remunerada por enfermedad"
"QID175_Choice3","Paid vacation or personal days","Vacaciones o días personales remunerados"
"QID175_Choice4","Health insurance","Seguro médico"
"QID175_Choice5","Dental insurance","Seguro dental"
"QID175_Choice6","Tuition reimbursement<br />➘(e.g., for college courses)","Reembolso de matrícula<br /> ➘ (p. ej., para cursos universitarios)"
"QID175_Choice7","Professional development funds<br />➘(e.g., to attend conferences, buy books)","Fondos para el desarrollo profesional<br /> ➘ (p. ej., para asistir a conferencias, comprar libros)"
"QID175_Choice8","Child care benefits<br />➘(e.g., free or discounted tuition for the children of staff)","Beneficios para el cuidado de los hijos<br />➘ (p. ej., matrícula gratuita o con descuento para los hijos del personal)"
"QID175_Choice9","Retirement plan<br />➘(e.g., 401k, 403b, pension plan)","Plan de jubilación<br /> ➘ (p. ej., 401k, 403b, plan de pensiones)"
"QID175_Choice10","Overtime pay","Pago por horas extras"
"QID175_Answer1","Yes","Sí"
"QID175_Answer2","No","No"
"QID177_QuestionText","How many days of paid sick leave do you have a year?<br><i>Please type a number.</i>&nbsp;","¿Cuántos días de licencia por enfermedad remunerada tiene al año?<br><i> Escriba un número.</i>&nbsp;"
"QID178_QuestionText","How many days of paid vacation/personal days do you have a year?<br><i>Please type a number. </i>","¿Cuántos días de vacaciones/personales remunerados tiene al año?<br><i> Escriba un número.</i>"
"QID179_QuestionText","Do you currently have health insurance?","¿Tiene actualmente seguro médico?"
"QID179_Choice1","Yes","Sí"
"QID179_Choice2","No","No"
"QID181_QuestionText","What is the source of your current primary health insurance policy?","¿Cuál es la fuente de su póliza de seguro médico primario actual?"
"QID181_Choice2","Through my employer","A través de mi empleador"
"QID181_Choice3","My partner/spouse's policy","La póliza de mi pareja/cónyuge"
"QID181_Choice4","My parent's policy","La póliza de mis padres"
"QID181_Choice5","Medicare/Medicaid","Medicare/Medicaid"
"QID181_Choice6","Massachusetts Health Connector/Affordable Care Act","Massachusetts Health Connector/Ley de Cuidado de Salud Asequible"
"QID181_Choice7","MASSHealth","MASSHealth"
"QID181_Choice8","Other, please explain","Otros, explique"
"QID242_QuestionText","These questions are to help capture how your job relates your mental and emotional health.","Estas preguntas permiten determinar la relación entre su trabajo y su salud mental y emocional."
"QID182_QuestionText","Please read each statement carefully and decide if you ever feel this way about your job. Then, indicate how much stress this feeling has caused.","Lea atentamente cada afirmación y decida si en algún momento siente lo mismo con respecto a su trabajo. A continuación, indique cuánto estrés le ha causado este sentimiento."
"QID182_Choice1","I lack opportunities for professional improvement.","Carezco de oportunidades de desarrollo profesional."
"QID182_Choice2","My personal opinions are not considered.","Mis opiniones personales no se tienen en cuenta."
"QID182_Choice3","I am not emotionally/intellectually stimulated on the job.","El trabajo no me estimula emocional ni intelectualmente."
"QID182_Choice4","I lack control over decisions/matters related to my job.","Carezco de control sobre las decisiones/cuestiones relacionadas con mi trabajo."
"QID182_Answer1","No stress","Nada de estrés"
"QID182_Answer2","Mild stress","Estrés leve"
"QID182_Answer3","Moderate stress","Estrés moderado"
"QID182_Answer4","Severe stress","Estrés grave"
"QID182_Answer5","Extreme stress","Estrés extremo"
"QID183_QuestionText","This question is about how you feel about your job. Please read each statement carefully and decide if you ever feel this way about your job and, if so, how frequently.","Esta pregunta se refiere a sus sentimientos con respecto a su trabajo. Lea atentamente cada una de las afirmaciones y decida si en algún momento siente lo mismo con respecto a su trabajo y, en caso afirmativo, con qué frecuencia."
"QID183_Choice1","I feel emotionally drained from my work.","Siento que mi trabajo me consume emocionalmente."
"QID183_Choice2","I feel used up at the end of the workday.","Siento agotamiento al final de la jornada laboral."
"QID183_Choice3","I feel tired when I get up in the morning and have to face another day on the job.","Siento cansancio cuando me levanto por la mañana y tengo que afrontar otro día de trabajo."
"QID183_Choice4","Working with people all day is really hard for me.","Me cuesta mucho trabajar todo el día con personas."
"QID183_Choice5","I feel burned out from my work.","Siento que mi trabajo me agobia."
"QID183_Choice6","I feel frustrated by my job.","Siento frustración con mi trabajo."
"QID183_Choice7","I feel I'm working too hard on my job.","Siento que me esfuerzo demasiado en mi trabajo."
"QID183_Choice8","Working with people directly puts too much stress on me.","El hecho de trabajar directamente con las personas me estresa demasiado."
"QID183_Choice9","I feel like I'm at the end of my rope.","Siento como si estuviera al límite."
"QID183_Answer1","Never","Nunca"
"QID183_Answer2","A few times a year or less","Unas pocas veces al año o menos"
"QID183_Answer3","Once a month or less","Como máximo una vez al mes"
"QID183_Answer4","A few times a month","Varias veces al mes"
"QID183_Answer5","Once a week","Una vez a la semana"
"QID183_Answer6","A few times a week","Varias veces por semana"
"QID183_Answer7","Every day","Todos los días"
"QID185_QuestionText","Over the last two weeks, how often have you been bothered by the following problems?","En las últimas dos semanas, ¿con qué frecuencia ha experimentado los siguientes problemas?"
"QID185_Choice1","Feeling nervous, anxious or on edge","Nerviosismo, ansiedad o tensión"
"QID185_Choice2","Not being able to stop or control worrying","Imposibilidad de detener o controlar la preocupación"
"QID185_Choice3","Feeling down, depressed or hopeless","Desánimo, depresión o desesperanza"
"QID185_Choice4","Little interest or pleasure in doing things","Escaso interés o placer por hacer cosas"
"QID185_Answer1","Not at all","Para nada"
"QID185_Answer2","Several days","Varios días"
"QID185_Answer3","More than half the days","Más de la mitad de los días"
"QID185_Answer4","Nearly every day","Casi todos los días"
"QID190_QuestionText","These questions are to help us understand how you take care of your wellbeing outside of your professional environment.","Estas preguntas nos ayudan a comprender cómo cuida de su bienestar fuera de su entorno profesional."
"QID191_QuestionText","How do you like to spend your time outside of work?","¿A qué dedica su tiempo fuera del trabajo?"
"QID192_QuestionText","What are your go-to support systems, either in or outside of your work setting?","¿Cuáles son sus sistemas de apoyo, dentro o fuera de su entorno laboral?"
"QID209_QuestionText","<b>All About You<br></b>In this section, we want to learn more about you and your family. This information is critical for us to understand who is in the early care and education workforce in Cambridge.","<b>Todo sobre usted<br></b> En esta sección, nos gustaría conocer más sobre usted y su familia. Dicha información es fundamental para que comprendamos quién integra el personal de atención y educación de la primera infancia en Cambridge."
"QID193_QuestionText","What is your gender","¿Cuál es su género?"
"QID193_Choice1","Female","Femenino"
"QID193_Choice2","Male","Masculino"
"QID193_Choice4","Nonbinary","No binario"
"QID193_Choice3","Other, please write in your gender identity:","Otro, escriba su identidad de género:"
"QID194_QuestionText","What is your race?<br><i>Check all that apply</i><br>","¿Cuál es su raza?<br><i> Marque todas las opciones que correspondan.</i><br>"
"QID194_Choice1","American Indian or Alaskan Native","Indio americano o nativo de Alaska"
"QID194_Choice2","Asian","Asiático"
"QID194_Choice3","Black or African American","Negro o afroamericano"
"QID194_Choice4","Native Hawaiian or Other Pacific Islander","Nativo de Hawái u otras islas del Pacífico"
"QID194_Choice5","White","Blanco"
"QID195_QuestionText","Do you identify as:&nbsp;","¿Cómo se identifica?&nbsp;"
"QID195_Choice1","Hispanic or Latinx or Spanish Origin","Origen hispano o latino o español"
"QID195_Choice2","Not Hispanic of Latinx or Spanish Origin","No hispano de origen latino o español"
"QID196_QuestionText","What language do you speak the most, in general?&nbsp;","En general, ¿qué idioma habla más?&nbsp;"
"QID196_Choice1","English","Inglés"
"QID196_Choice2","Spanish","Español"
"QID196_Choice3","Portuguese","Portugués"
"QID196_Choice4","Mandarin","Mandarín"
"QID196_Choice5","French","Francés"
"QID196_Choice7","Haitian Creole","Criollo haitiano"
"QID196_Choice8","Amharic","Amárico"
"QID196_Choice6","Other, please explain:","Otro, explique:"
"QID197_QuestionText","Which state do you currently live in?","¿En qué estado vive actualmente?"
"QID197_Choice1","Massachusetts","Massachusetts"
"QID197_Choice2","Connecticut","Connecticut"
"QID197_Choice3","New Hampshire","New Hampshire"
"QID197_Choice4","Rhode Island","Rhode Island"
"QID197_Choice5","Maine","Maine"
"QID197_Choice7","Vermont","Vermont"
"QID197_Choice6","Other, please explain:","Otro, explique:"
"QID198_QuestionText","In which town do you currently live in Massachusetts?","¿En qué ciudad de Massachusetts vive actualmente?"
"QID198_Choice1","Abington","Abington"
"QID198_Choice2","Acton","Acton"
"QID198_Choice3","Acushnet","Acushnet"
"QID198_Choice4","Adams","Adams"
"QID198_Choice5","Agawam","Agawam"
"QID198_Choice6","Alford","Alford"
"QID198_Choice7","Amesbury","Amesbury"
"QID198_Choice8","Amherst","Amherst"
"QID198_Choice9","Andover","Andover"
"QID198_Choice10","Aquinnah","Aquinnah"
"QID198_Choice11","Arlington","Arlington"
"QID198_Choice12","Ashburnham","Ashburnham"
"QID198_Choice13","Ashby","Ashby"
"QID198_Choice14","Ashfield","Ashfield"
"QID198_Choice15","Ashland","Ashland"
"QID198_Choice16","Athol","Athol"
"QID198_Choice17","Attleboro","Attleboro"
"QID198_Choice18","Auburn","Auburn"
"QID198_Choice19","Avon","Avon"
"QID198_Choice20","Ayer","Ayer"
"QID198_Choice21","Barnstable","Barnstable"
"QID198_Choice22","Barre","Barre"
"QID198_Choice23","Becket","Becket"
"QID198_Choice24","Bedford","Bedford"
"QID198_Choice25","Belchertown","Belchertown"
"QID198_Choice26","Bellingham","Bellingham"
"QID198_Choice27","Belmont","Belmont"
"QID198_Choice28","Berkley","Berkley"
"QID198_Choice29","Berlin","Berlin"
"QID198_Choice30","Bernardston","Bernardston"
"QID198_Choice31","Beverly","Beverly"
"QID198_Choice32","Billerica","Billerica"
"QID198_Choice33","Blackstone","Blackstone"
"QID198_Choice34","Blandford","Blandford"
"QID198_Choice35","Bolton","Bolton"
"QID198_Choice36","Boston","Boston"
"QID198_Choice37","Bourne","Bourne"
"QID198_Choice38","Boxborough","Boxborough"
"QID198_Choice39","Boxford","Boxford"
"QID198_Choice40","Boylston","Boylston"
"QID198_Choice41","Braintree","Braintree"
"QID198_Choice42","Brewster","Brewster"
"QID198_Choice43","Bridgewater","Bridgewater"
"QID198_Choice44","Brimfield","Brimfield"
"QID198_Choice45","Brockton","Brockton"
"QID198_Choice46","Brookfield","Brookfield"
"QID198_Choice47","Brookline","Brookline"
"QID198_Choice48","Buckland","Buckland"
"QID198_Choice49","Burlington","Burlington"
"QID198_Choice50","Cambridge","Cambridge"
"QID198_Choice51","Canton","Canton"
"QID198_Choice52","Carlisle","Carlisle"
"QID198_Choice53","Carver","Carver"
"QID198_Choice54","Charlemont","Charlemont"
"QID198_Choice55","Charlton","Charlton"
"QID198_Choice56","Chatham","Chatham"
"QID198_Choice57","Chelmsford","Chelmsford"
"QID198_Choice58","Chelsea","Chelsea"
"QID198_Choice59","Cheshire","Cheshire"
"QID198_Choice60","Chester","Chester"
"QID198_Choice61","Chesterfield","Chesterfield"
"QID198_Choice62","Chicopee","Chicopee"
"QID198_Choice63","Chilmark","Chilmark"
"QID198_Choice64","Clarksburg","Clarksburg"
"QID198_Choice65","Clinton","Clinton"
"QID198_Choice66","Cohasset","Cohasset"
"QID198_Choice67","Colrain","Colrain"
"QID198_Choice68","Concord","Concord"
"QID198_Choice69","Conway","Conway"
"QID198_Choice70","Cummington","Cummington"
"QID198_Choice71","Dalton","Dalton"
"QID198_Choice72","Danvers","Danvers"
"QID198_Choice73","Dartmouth","Dartmouth"
"QID198_Choice74","Dedham","Dedham"
"QID198_Choice75","Deerfield","Deerfield"
"QID198_Choice76","Dennis","Dennis"
"QID198_Choice77","Dighton","Dighton"
"QID198_Choice78","Douglas","Douglas"
"QID198_Choice79","Dover","Dover"
"QID198_Choice80","Dracut","Dracut"
"QID198_Choice81","Dudley","Dudley"
"QID198_Choice82","Dunstable","Dunstable"
"QID198_Choice83","Duxbury","Duxbury"
"QID198_Choice84","East Bridgewater","East Bridgewater"
"QID198_Choice85","East Brookfield","East Brookfield"
"QID198_Choice86","East Longmeadow","East Longmeadow"
"QID198_Choice87","Eastham","Eastham"
"QID198_Choice88","Easthampton","Easthampton"
"QID198_Choice89","Easton","Easton"
"QID198_Choice90","Edgartown","Edgartown"
"QID198_Choice91","Egremont","Egremont"
"QID198_Choice92","Erving","Erving"
"QID198_Choice93","Essex","Essex"
"QID198_Choice94","Everett","Everett"
"QID198_Choice95","Fairhaven","Fairhaven"
"QID198_Choice96","Fall River","Fall River"
"QID198_Choice97","Falmouth","Falmouth"
"QID198_Choice98","Fitchburg","Fitchburg"
"QID198_Choice99","Florida","Florida"
"QID198_Choice100","Foxborough","Foxborough"
