State Name,Grade Level,Grade Band,Course ,State Identifier,Standard,Category,~CSTA,CSTA Identifier,CSTA Standard,Other Info,Notes
PA,N/A,K-2,,3.5.K-2.O,Illustrate that there are different solutions to a design and that none are perfect.,Technology & Engineering,based,1A-AP-12,"Develop plans that describe a program’s sequence of events, goals, and expected outcomes.",,Not a great alignment but felt it was similar enough.
PA,N/A,K-2,,3.5.K-2.P,Discuss that all designs have different characteristics that can be described.,Technology & Engineering,different,1A-AP-12,"Develop plans that describe a program’s sequence of events, goals, and expected outcomes.",,
PA,N/A,K-2,,3.5.K-2.Q,Apply skills necessary for making in design.,Technology & Engineering,similar,1A-CS-01,"Select and operate appropriate software to perform a variety of tasks, and recognize that users have different needs and preferences for the technology they use.",,
PA,N/A,K-2,,3.5.K-2.R,Draw connections between technology and human experience.,Technology & Engineering,similar,1A-CS-01,"Select and operate appropriate software to perform a variety of tasks, and recognize that users have different needs and preferences for the technology they use.",,
PA,N/A,K-2,,3.5.K-2.S,"Apply design concepts, principles, and processes through play and exploration.",Technology & Engineering,different,,,,
PA,N/A,K-2,,3.5.K-2.T,Demonstrate that designs have requirements.,Technology & Engineering,different,,,,Their crosswalk aligns to 1A-NI-04 but it's a reach.
PA,N/A,K-2,,3.5.K-2.U,Explain that design is a response to wants and needs.,Technology & Engineering,similar,1A-CS-01,"Select and operate appropriate software to perform a variety of tasks, and recognize that users have different needs and preferences for the technology they use.",,
PA,N/A,K-2,,3.5.K-2.V,Explain that materials are selected for use because they possess desirable properties and characteristics.,Technology & Engineering,different,,,,
PA,N/A,K-2,,3.5.K-2.W,Apply concepts and skills from technology and engineering activities that reinforce concepts and skills across multiple areas.,Technology & Engineering,different,1A-AP-11,Decompose (break down) the steps needed to solve a problem into a precise sequence of instructions.,,"Crosswalk aligns to multiple standards, but again, this is very vague in the way they connect them. 1A-AP-11 seems most aligned as well as maybe 1A-AP-12."
PA,N/A,K-2,,3.5.K-2.X,Develop a plan in order to complete a task.,Technology & Engineering,similar,1A-AP-12,"Develop plans that describe a program’s sequence of events, goals, and expected outcomes.",,
PA,N/A,K-2,,3.5.K-2.Y,Discuss how the way people live and work has changed throughout history because of technology.,Technology & Engineering,similar,1A-IC-16,Compare how people live and work before and after the implementation or adoption of new computing technology.,,
PA,N/A,K-2,,3.5.K-2.Z,Illustrate how systems have parts or components that work together to accomplish a goal.,Technology & Engineering,different,,,,Do not agree with crosswalk alignments here.
PA,N/A,K-2,,3.5.K-2.AA,Demonstrate that creating can be done by anyone.,Technology & Engineering,different,,,,Do not agree with crosswalk alignments here.
PA,N/A,K-2,,3.5.K-2.BB,Compare the natural world and human-made world.,Technology & Engineering,different,,,,Do not agree with crosswalk alignments here.
PA,N/A,K-2,,3.5.K-2.CC,"Discuss the roles of scientists, engineers, technologists, and others who work with technology.",Technology & Engineering,different,1A-AP-13,Give attribution when using the ideas and creations of others while developing programs.,,
PA,N/A,K-2,,3.5.K-2.DD,Collaborate effectively as a member of a team.,Technology & Engineering,similar,1A-IC-17,Work respectfully and responsibly with others online.,,
PA,N/A,3-5,,3.5.3-5.A,"Use appropriate symbols, numbers, and words to communicate key ideas about technological products and systems. ",Technology & Engineering,based,1A-AP-09,Model the way programs store and manipulate data by using numbers or other symbols to represent information.,,
PA,N/A,3-5,,3.5.3-5.A,"Use appropriate symbols, numbers, and words to communicate key ideas about technological products and systems. ",Technology & Engineering,based,1B-DA-07,"Use data to highlight or propose cause-and-effect relationships, predict outcomes, or communicate an idea.",,
PA,N/A,3-5,,3.5.3-5.B,Examine information to assess the trade-offs to using a product or system. ,Technology & Engineering,based,1B-AP-08,Compare and refine multiple algorithms for the same task and determine which is the most appropriate.,,
PA,N/A,3-5,,3.5.3-5.B,Examine information to assess the trade-offs to using a product or system. ,Technology & Engineering,based,1B-AP-11,"Decompose (break down) problems into smaller, manageable subproblems to facilitate the program development process.",,
PA,N/A,3-5,,3.5.3-5.C,Follow directions to complete a technological task.,Technology & Engineering,based,1B-AP-08,Compare and refine multiple algorithms for the same task and determine which is the most appropriate.,,
PA,N/A,3-5,,3.5.3-5.C,Follow directions to complete a technological task.,Technology & Engineering,based,1B-AP-11,"Decompose (break down) problems into smaller, manageable subproblems to facilitate the program development process.",,
PA,N/A,3-5,,3.5.3-5.C,Follow directions to complete a technological task.,Technology & Engineering,based,1B-AP-12,"Modify, remix, or incorporate portions of an existing program into one's own work, to develop something new or add more advanced features.",,
PA,N/A,3-5,,3.5.3-5.C,Follow directions to complete a technological task.,Technology & Engineering,based,1B-IC-20,Seek diverse perspectives for the purpose of improving computational artifacts.,,
PA,N/A,3-5,,3.5.3-5.D,Predict how certain aspects of their daily lives would be different without given technologies,Technology & Engineering,based,1B-IC-18,"Discuss computing technologies that have changed the world, and express how those technologies influence, and are influenced by, cultural practices.",,
PA,N/A,3-5,,3.5.3-5.E,Explain why responsible use of technology requires sustainable management of resources.,Technology & Engineering,different,,,,"The crosswalk lists four CSTA standards, but they seem extremely different. Listed below: 
1B-DA-06 Organize and present collected data
visually to highlight relationships and support a claim.
(P7.1)

1B-DA-07 Use data to highlight or propose causeand-effect relationships, predict outcomes, or
communicate an idea. (P7.1)

1B-AP-13 Use an iterative process to plan the development of a program by including others' perspectives and considering user preferences. (P1.1,.P5.1)

1B-IC-18 Discuss computing technologies that have
changed the world, and express how those
technologies influence, and are influenced by, cultural
practices. (P7.1)"
PA,N/A,3-5,,3.5.3-5.F,Classify resources used to create technologies as either renewable or nonrenewable.,Technology & Engineering,different,,,,"Crosswalk lists the following: 1B-DA-07 Use data to highlight or propose causeand-effect relationships, predict outcomes, or communicate an idea. (P7.1)"
PA,N/A,3-5,,3.5.3-5.G,Describe the helpful and harmful effects of technology.,Technology & Engineering,based,1B-IC-18,"Discuss computing technologies that have changed the world, and express how those technologies influence, and are influenced by, cultural practices.",,
PA,N/A,3-5,,3.5.3-5.G,Describe the helpful and harmful effects of technology.,Technology & Engineering,based,1B-IC-20,Seek diverse perspectives for the purpose of improving computational artifacts.,,
PA,N/A,3-5,,3.5.3-5.H,Determine factors that influence changes in a society’s technological systems or infrastructure.,Technology & Engineering,based,1B-IC-18,"Discuss computing technologies that have changed the world, and express how those technologies influence, and are influenced by, cultural practices.",,
PA,N/A,3-5,,3.5.3-5.I,"Design solutions by safely using tools, materials, and skills.",Technology & Engineering,based,1B-AP-08,Compare and refine multiple algorithms for the same task and determine which is the most appropriate.,,
PA,N/A,3-5,,3.5.3-5.I,"Design solutions by safely using tools, materials, and skills.",Technology & Engineering,based,1B-AP-11,"Decompose (break down) problems into smaller, manageable subproblems to facilitate the program development process.",,
PA,N/A,3-5,,3.5.3-5.J,Explain how technologies are developed or adapted when individual or societal needs and wants change.,Technology & Engineering,based,1B-IC-19,Brainstorm ways to improve the accessibility and usability of technology products for the diverse needs and wants of users.,,
PA,N/A,3-5,,3.5.3-5.J,Explain how technologies are developed or adapted when individual or societal needs and wants change.,Technology & Engineering,based,1B-IC-20,Seek diverse perspectives for the purpose of improving computational artifacts.,,
PA,N/A,3-5,,3.5.3-5.K,Judge technologies to determine the best one to use to complete a given task or meet a need.,Technology & Engineering,based,1B-CS-03,Determine potential solutions to solve simple hardware and software problems using common troubleshooting strategies.,,
PA,N/A,3-5,,3.5.3-5.K,Judge technologies to determine the best one to use to complete a given task or meet a need.,Technology & Engineering,based,1B-AP-08,Compare and refine multiple algorithms for the same task and determine which is the most appropriate.,,
PA,N/A,3-5,,3.5.3-5.L,"Demonstrate how tools and machines extend human capabilities, such as holding, lifting, carrying, fastening, separating, and computing.",Technology & Engineering,based,1B-IC-19,Brainstorm ways to improve the accessibility and usability of technology products for the diverse needs and wants of users.,,
PA,N/A,3-5,,3.5.3-5.M,Demonstrate essential skills of the engineering design process.,Technology & Engineering,based,1B-AP-08,Compare and refine multiple algorithms for the same task and determine which is the most appropriate.,,
PA,N/A,3-5,,3.5.3-5.M,Demonstrate essential skills of the engineering design process.,Technology & Engineering,based,1B-AP-11,"Decompose (break down) problems into smaller, manageable subproblems to facilitate the program development process.",,
PA,N/A,3-5,,3.5.3-5.M,Demonstrate essential skills of the engineering design process.,Technology & Engineering,based,1B-AP-13,Use an iterative process to plan the development of a program by including others' perspectives and considering user preferences.,,
PA,N/A,3-5,,3.5.3-5.M,Demonstrate essential skills of the engineering design process.,Technology & Engineering,based,1B-AP-15,Test and debug (identify and fix errors) a program or algorithm to ensure it runs as intended.,,
PA,N/A,3-5,,3.5.3-5.N,Identify why a product or system is not working properly.,Technology & Engineering,based,1B-AP-15,Test and debug (identify and fix errors) a program or algorithm to ensure it runs as intended.,,
PA,N/A,3-5,,3.5.3-5.O,Describe requirements of designing or making a product or system.,Technology & Engineering,based,1B-CS-02,Model how computer hardware and software work together as a system to accomplish tasks.,,
PA,N/A,3-5,,3.5.3-5.O,Describe requirements of designing or making a product or system.,Technology & Engineering,based,1B-AP-11,"Decompose (break down) problems into smaller, manageable subproblems to facilitate the program development process.",,
PA,N/A,3-5,,3.5.3-5.O,Describe requirements of designing or making a product or system.,Technology & Engineering,based,1B-AP-13,Use an iterative process to plan the development of a program by including others' perspectives and considering user preferences.,,
PA,N/A,3-5,,3.5.3-5.O,Describe requirements of designing or making a product or system.,Technology & Engineering,based,1B-IC-19,Brainstorm ways to improve the accessibility and usability of technology products for the diverse needs and wants of users.,,
PA,N/A,3-5,,3.5.3-5.P,"Evaluate the strengths and weaknesses of existing design solutions, including their own solutions",Technology & Engineering,based,1B-AP-08,Compare and refine multiple algorithms for the same task and determine which is the most appropriate.,,
PA,N/A,3-5,,3.5.3-5.P,"Evaluate the strengths and weaknesses of existing design solutions, including their own solutions",Technology & Engineering,based,1B-AP-11,"Decompose (break down) problems into smaller, manageable subproblems to facilitate the program development process.",,
PA,N/A,3-5,,3.5.3-5.P,"Evaluate the strengths and weaknesses of existing design solutions, including their own solutions",Technology & Engineering,based,1B-AP-15,Test and debug (identify and fix errors) a program or algorithm to ensure it runs as intended.,,
PA,N/A,3-5,,3.5.3-5.P,"Evaluate the strengths and weaknesses of existing design solutions, including their own solutions",Technology & Engineering,based,1B-IC-19,Brainstorm ways to improve the accessibility and usability of technology products for the diverse needs and wants of users.,,
PA,N/A,3-5,,3.5.3-5.P,"Evaluate the strengths and weaknesses of existing design solutions, including their own solutions",Technology & Engineering,based,1B-IC-20,Seek diverse perspectives for the purpose of improving computational artifacts.,,
PA,N/A,3-5,,3.5.3-5.Q,Practice successful design skills,Technology & Engineering,based,1B-AP-08,Compare and refine multiple algorithms for the same task and determine which is the most appropriate.,,
PA,N/A,3-5,,3.5.3-5.Q,Practice successful design skills,Technology & Engineering,based,1B-AP-11,"Decompose (break down) problems into smaller, manageable subproblems to facilitate the program development process.",,
PA,N/A,3-5,,3.5.3-5.Q,Practice successful design skills,Technology & Engineering,based,1B-AP-13,Use an iterative process to plan the development of a program by including others' perspectives and considering user preferences.,,
PA,N/A,3-5,,3.5.3-5.Q,Practice successful design skills,Technology & Engineering,based,1B-AP-15,Test and debug (identify and fix errors) a program or algorithm to ensure it runs as intended.,,
PA,N/A,3-5,,3.5.3-5.R,"Apply tools, techniques, and materials in a safe manner as part of the design process.",Technology & Engineering,based,1B-CS-01,Describe how internal and external parts of computing devices function to form a system.,,
PA,N/A,3-5,,3.5.3-5.R,"Apply tools, techniques, and materials in a safe manner as part of the design process.",Technology & Engineering,based,1B-CS-02,Model how computer hardware and software work together as a system to accomplish tasks.,,
PA,N/A,3-5,,3.5.3-5.S,Illustrate that there are multiple approaches to design.,Technology & Engineering,based,1B-AP-08,Compare and refine multiple algorithms for the same task and determine which is the most appropriate.,,
PA,N/A,3-5,,3.5.3-5.S,Illustrate that there are multiple approaches to design.,Technology & Engineering,based,1B-AP-13,Use an iterative process to plan the development of a program by including others' perspectives and considering user preferences.,,
PA,N/A,3-5,,3.5.3-5.T,Apply universal principles and elements of design.,Technology & Engineering,based,1B-AP-08,Compare and refine multiple algorithms for the same task and determine which is the most appropriate.,,
PA,N/A,3-5,,3.5.3-5.T,Apply universal principles and elements of design.,Technology & Engineering,based,1B-AP-13,Use an iterative process to plan the development of a program by including others' perspectives and considering user preferences.,,
PA,N/A,3-5,,3.5.3-5.U,"Evaluate designs based on criteria, constraints, and standards.",Technology & Engineering,based,1B-AP-13,Use an iterative process to plan the development of a program by including others' perspectives and considering user preferences.,,
PA,N/A,3-5,,3.5.3-5.U,"Evaluate designs based on criteria, constraints, and standards.",Technology & Engineering,based,1B-IC-19,Brainstorm ways to improve the accessibility and usability of technology products for the diverse needs and wants of users.,,
PA,N/A,3-5,,3.5.3-5.U,"Evaluate designs based on criteria, constraints, and standards.",Technology & Engineering,based,1B-IC-20,Seek diverse perspectives for the purpose of improving computational artifacts.,,
PA,N/A,3-5,,3.5.3-5.V,Interpret how good design improves the human condition.,Technology & Engineering,based,1B-IC-18,"Discuss computing technologies that have changed the world, and express how those technologies influence, and are influenced by, cultural practices.",,
PA,N/A,3-5,,3.5.3-5.W,Describe the properties of different materials.,Technology & Engineering,based,1B-CS-01,Describe how internal and external parts of computing devices function to form a system.,,
PA,N/A,3-5,,3.5.3-5.X,Explain how various relationships can exist between technology and engineering and other content areas.,Technology & Engineering,based,1B-AP-16,"Take on varying roles, with teacher guidance, when collaborating with peers during the design, implementation, and review stages of program development.",,
PA,N/A,3-5,,3.5.3-5.Y,"Identify the resources needed to get a technical job done, such as people, materials, capital, tools, machines, knowledge, energy, and time.",Technology & Engineering,different,,,,"Crosswalk lists the following: 1B-DA-07 Use data to highlight or propose causeand-effect relationships, predict outcomes, or communicate an idea. (P7.1)"
PA,N/A,3-5,,3.5.3-5.Z,Create a new product that improves someone's life.,Technology & Engineering,based,1B-AP-13,Use an iterative process to plan the development of a program by including others' perspectives and considering user preferences.,,
PA,N/A,3-5,,3.5.3-5.Z,Create a new product that improves someone's life.,Technology & Engineering,based,1B-IC-18,"Discuss computing technologies that have changed the world, and express how those technologies influence, and are influenced by, cultural practices.",,
PA,N/A,3-5,,3.5.3-5.Z,Create a new product that improves someone's life.,Technology & Engineering,based,1B-IC-19,Brainstorm ways to improve the accessibility and usability of technology products for the diverse needs and wants of users.,,
PA,N/A,3-5,,3.5.3-5.Z,Create a new product that improves someone's life.,Technology & Engineering,based,1B-IC-20,Seek diverse perspectives for the purpose of improving computational artifacts.,,
PA,N/A,3-5,,3.5.3-5.AA,"Create representations of the tools people made, how they cultivated to provide food, made clothing, and built shelters to protect themselves.",Technology & Engineering,based,1B-IC-18,"Discuss computing technologies that have changed the world, and express how those technologies influence, and are influenced by, cultural practices.",,
PA,N/A,3-5,,3.5.3-5.BB,"Illustrate how, when parts of a system are missing, it may not work as planned.",Technology & Engineering,based,1B-CS-02,Model how computer hardware and software work together as a system to accomplish tasks.,,
PA,N/A,3-5,,3.5.3-5.BB,"Illustrate how, when parts of a system are missing, it may not work as planned.",Technology & Engineering,based,1B-AP-15,Test and debug (identify and fix errors) a program or algorithm to ensure it runs as intended.,,
PA,N/A,3-5,,3.5.3-5.CC,Describe how a subsystem is a system that operates as a part of another larger system.,Technology & Engineering,based,1B-CS-01,Describe how internal and external parts of computing devices function to form a system.,,
PA,N/A,3-5,,3.5.3-5.CC,Describe how a subsystem is a system that operates as a part of another larger system.,Technology & Engineering,based,1B-CS-02,Model how computer hardware and software work together as a system to accomplish tasks.,,
PA,N/A,3-5,,3.5.3-5.DD,Demonstrate how simple technologies are often combined to form more complex systems.,Technology & Engineering,based,1B-CS-01,Describe how internal and external parts of computing devices function to form a system.,,
PA,N/A,3-5,,3.5.3-5.DD,Demonstrate how simple technologies are often combined to form more complex systems.,Technology & Engineering,based,1B-CS-02,Model how computer hardware and software work together as a system to accomplish tasks.,,
PA,N/A,3-5,,3.5.3-5.EE,"Explain how solutions to problems are shaped by economic, political, and cultural forces.",Technology & Engineering,based,1B-IC-18,"Discuss computing technologies that have changed the world, and express how those technologies influence, and are influenced by, cultural practices.",,
PA,N/A,3-5,,3.5.3-5.EE,"Explain how solutions to problems are shaped by economic, political, and cultural forces.",Technology & Engineering,based,1B-IC-19,Brainstorm ways to improve the accessibility and usability of technology products for the diverse needs and wants of users.,,
PA,N/A,3-5,,3.5.3-5.FF,"Compare how things found in nature differ from things that are human-made, noting differences and similarities in how they are produced and used.",Technology & Engineering,different,,,,
PA,N/A,3-5,,3.5.3-5.GG,"Describe the unique relationship between science and technology, and how the natural world can contribute to the human-made world to foster innovation.",Technology & Engineering,different,,,,
PA,N/A,3-5,,3.5.3-5.HH,"Differentiate between the role of scientists, engineers, technologists, and others in creating and maintaining technological systems.",Technology & Engineering,based,1B-AP-16,"Take on varying roles, with teacher guidance, when collaborating with peers during the design, implementation, and review stages of program development.",,
PA,N/A,3-5,,3.5.3-5.HH,"Differentiate between the role of scientists, engineers, technologists, and others in creating and maintaining technological systems.",Technology & Engineering,based,1B-IC-20,Seek diverse perspectives for the purpose of improving computational artifacts.,,
PA,N/A,6-8,,3.5.6-8.A,Research information from various sources to use and maintain technological products or systems. ,Technology & Engineering,based,2-CS-03,Systematically identify and fix problems with computing devices and their components.,,
PA,N/A,6-8,,3.5.6-8.B,Use instruments to gather data on the performance of everyday products. ,Technology & Engineering,based,2-DA-08,Collect data using computational tools and transform the data to make it more useful and reliable.,,
PA,N/A,6-8,,3.5.6-8.C,"Hypothesize what alternative outcomes (individual, cultural, and/or environmental) might have resulted had a different technological solution been selected. ",Technology & Engineering,based,2-CS-01,"Recommend improvements to the design of computing devices, based on an analysis of how users interact with the devices.",,
PA,N/A,6-8,,3.5.6-8.C,"Hypothesize what alternative outcomes (individual, cultural, and/or environmental) might have resulted had a different technological solution been selected. ",Technology & Engineering,based,2-DA-09,Refine computational models based on the data they have generated.,,
PA,N/A,6-8,,3.5.6-8.C,"Hypothesize what alternative outcomes (individual, cultural, and/or environmental) might have resulted had a different technological solution been selected. ",Technology & Engineering,based,2-AP-15,Seek and incorporate feedback from team members and users to refine a solution that meets user needs.,,
PA,N/A,6-8,,3.5.6-8.D,"Analyze how the creation and use of technologies consumes renewable, nonrenewable, and inexhaustible resources; creates waste; and may contribute to environmental challenges. ",Technology & Engineering,based,2-IC-22,Collaborate with many contributors through strategies such as crowdsourcing or surveys when creating a computational artifact.,,
PA,N/A,6-8,,3.5.6-8.E,"Consider the impacts of a proposed or existing technology and devise strategies for reducing, reusing, and recycling waste caused by its creation. ",Technology & Engineering,based,2-IC-20,Compare tradeoffs associated with computing technologies that affect people's everyday activities and career options.,,
PA,N/A,6-8,,3.5.6-8.F,"Analyze examples of technologies that have changed the way people think, interact, live, and communicate.  ",Technology & Engineering,based,2-IC-20,Compare tradeoffs associated with computing technologies that affect people's everyday activities and career options.,,
,,,,3.5.6-8.G,Analyze how an invention or innovation was influenced by the context and circumstances in which it is developed.  ,Technology & Engineering,based,2-IC-20,Compare tradeoffs associated with computing technologies that affect people's everyday activities and career options.,,
PA,N/A,6-8,,3.5.6-8.G,Analyze how an invention or innovation was influenced by the context and circumstances in which it is developed.  ,Technology & Engineering,based,2-IC-21,Discuss issues of bias and accessibility in the design of existing technologies.,,
PA,N/A,6-8,,3.5.6-8.H,Evaluate trade-offs based on various perspectives as part of a decision process that recognizes the need for careful compromises among competing factors.  ,Technology & Engineering,based,2-IC-20,Compare tradeoffs associated with computing technologies that affect people's everyday activities and career options.,,
PA,N/A,6-8,,3.5.6-8.I,Examine the ways that technology can have both positive and negative effects at the same time. ,Technology & Engineering,based,2-AP-15,Seek and incorporate feedback from team members and users to refine a solution that meets user needs.,,
PA,N/A,6-8,,3.5.6-8.I,Examine the ways that technology can have both positive and negative effects at the same time. ,Technology & Engineering,based,2-IC-20,Compare tradeoffs associated with computing technologies that affect people's everyday activities and career options.,,
PA,N/A,6-8,,3.5.6-8.I,Examine the ways that technology can have both positive and negative effects at the same time. ,Technology & Engineering,based,2-IC-21,Discuss issues of bias and accessibility in the design of existing technologies.,,
PA,N/A,6-8,,3.5.6-8.J,"Use tools, materials, and machines to safely diagnose, adjust, and repair systems.  ",Technology & Engineering,based,2-CS-03,Systematically identify and fix problems with computing devices and their components.,,
PA,N/A,6-8,,3.5.6-8.K,Use devices to control technological systems.  ,Technology & Engineering,based,1B-CS-01,Describe how internal and external parts of computing devices function to form a system.,,
PA,N/A,6-8,,3.5.6-8.L,Design methods to gather data about technological systems.  ,Technology & Engineering,based,2-CS-02,Design projects that combine hardware and software components to collect and exchange data.,,
PA,N/A,6-8,,3.5.6-8.L,Design methods to gather data about technological systems.  ,Technology & Engineering,based,2-DA-08,Collect data using computational tools and transform the data to make it more useful and reliable.,,
PA,N/A,6-8,,3.5.6-8.M (ETS),"Develop a model to generate data for iterative testing and modification of a proposed object, tool, or process such that an optimal design can be achieved. ",Technology & Engineering,based,2-CS-02,Design projects that combine hardware and software components to collect and exchange data.,,
PA,N/A,6-8,,3.5.6-8.M (ETS),"Develop a model to generate data for iterative testing and modification of a proposed object, tool, or process such that an optimal design can be achieved. ",Technology & Engineering,based,2-DA-08,Collect data using computational tools and transform the data to make it more useful and reliable.,,
PA,N/A,6-8,,3.5.6-8.N (ETS),Analyze data from tests to determine similarities and differences among several design solutions to identify the best characteristics of each that can be combined into a new solution to better meet the criteria for success. ,Technology & Engineering,based,2-AP-14,Create procedures with parameters to organize code and make it easier to reuse. ,,
PA,N/A,6-8,,3.5.6-8.N (ETS),Analyze data from tests to determine similarities and differences among several design solutions to identify the best characteristics of each that can be combined into a new solution to better meet the criteria for success. ,Technology & Engineering,based,2-AP-15,Seek and incorporate feedback from team members and users to refine a solution that meets user needs.,,
PA,N/A,6-8,,3.5.6-8.N (ETS),Analyze data from tests to determine similarities and differences among several design solutions to identify the best characteristics of each that can be combined into a new solution to better meet the criteria for success. ,Technology & Engineering,based,2-AP-17,Systematically test and refine programs using a range of test cases.,,
PA,N/A,6-8,,3.5.6-8.O,Interpret the accuracy of information collected.,Technology & Engineering,based,2-AP-17,Systematically test and refine programs using a range of test cases.,,
PA,N/A,6-8,,3.5.6-8.P (ETS),Evaluate competing design solutions using a systematic process to determine how well they meet the criteria and constraints of the problem. ,Technology & Engineering,based,2-CS-03,Systematically identify and fix problems with computing devices and their components.,,
PA,N/A,6-8,,3.5.6-8.Q,Apply a technology and engineering design thinking process. ,Technology & Engineering,based,2-AP-13,"Decompose problems and subproblems into parts to facilitate the design, implementation, and review of programs.",,
PA,N/A,6-8,,3.5.6-8.R,Develop innovative products and systems that solve problems and extend capabilities based on individual or collective needs and wants.  ,Technology & Engineering,based,2-AP-15,Seek and incorporate feedback from team members and users to refine a solution that meets user needs.,,
PA,N/A,6-8,,3.5.6-8.S,Illustrate the benefits and opportunities associated with different approaches to design.  ,Technology & Engineering,based,2-IC-20,Compare tradeoffs associated with computing technologies that affect people's everyday activities and career options.,,"This is a stretch to me, but the closest of the ones provided in the crosswalk."
PA,N/A,6-8,,3.5.6-8.T,Create solutions to problems by identifying and applying human factors in design.  ,Technology & Engineering,based,2-IC-20,Compare tradeoffs associated with computing technologies that affect people's everyday activities and career options.,,
PA,N/A,6-8,,3.5.6-8.T,Create solutions to problems by identifying and applying human factors in design.  ,Technology & Engineering,based,2-IC-21,Discuss issues of bias and accessibility in the design of existing technologies.,,
PA,N/A,6-8,,3.5.6-8.U,Evaluate and assess the strengths and weaknesses of various design solutions given established principles and elements of design. ,Technology & Engineering,based,2-CS-01,"Recommend improvements to the design of computing devices, based on an analysis of how users interact with the devices.",,
PA,N/A,6-8,,3.5.6-8.V,Refine design solutions to address criteria and constraints. ,Technology & Engineering,based,2-AP-14,Create procedures with parameters to organize code and make it easier to reuse. ,,
PA,N/A,6-8,,3.5.6-8.V,Refine design solutions to address criteria and constraints. ,Technology & Engineering,based,2-IC-22,Collaborate with many contributors through strategies such as crowdsourcing or surveys when creating a computational artifact.,,
PA,N/A,6-8,,3.5.6-8.W (ETS),"Define the criteria and constraints of a design problem with sufficient precision to ensure a successful solution, taking into account relevant scientific principles and potential impacts on people and the natural environment that may limit possible solutions. ",Technology & Engineering,based,2-AP-13,"Decompose problems and subproblems into parts to facilitate the design, implementation, and review of programs.",,
PA,N/A,6-8,,3.5.6-8.X,Defend decisions related to a design problem. ,Technology & Engineering,based,2-IC-22,Collaborate with many contributors through strategies such as crowdsourcing or surveys when creating a computational artifact.,,
PA,N/A,6-8,,3.5.6-8.Y,"Compare, contrast, and identify overlap between the contributions of science, technology, engineering, and mathematics in the development of technological systems. ",Technology & Engineering,different,,,,
